method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E1_original_chronos2,MMSP_published_series,68,4,raw,0.04685276374220848,0.10261517018079758,476.96112060546875,107.1941146850586,10180,2545
E1_original_chronos2,MMSP_published_series,68,4,post,0.04684574902057648,0.10261505097150803,476.88970947265625,107.19386291503906,10180,2545
E1_original_chronos2,MMSP_published_series,68,24,raw,0.0625997930765152,0.13720214366912842,3823.59521484375,1149.7960205078125,61080,2545
E1_original_chronos2,MMSP_published_series,68,24,post,0.06259464472532272,0.13720132410526276,3823.281005859375,1149.7823486328125,61080,2545
E0_last_value,MMSP_published_series,75,1,raw,0.05932410806417465,0.09883993119001389,150.9798583984375,24.86294937133789,2545,2545
E0_last_value,MMSP_published_series,75,1,post,0.05932410806417465,0.09883993119001389,150.9798583984375,24.86294937133789,2545,2545
E0_last_value,MMSP_published_series,75,4,raw,0.12954172492027283,0.2099255621433258,1318.7347412109375,448.61981201171875,10180,2545
E0_last_value,MMSP_published_series,75,4,post,0.12954172492027283,0.2099255621433258,1318.7347412109375,448.61981201171875,10180,2545
E0_last_value,MMSP_published_series,75,24,raw,0.2500194013118744,0.35316920280456543,15271.1845703125,7618.416015625,61080,2545
E0_last_value,MMSP_published_series,75,24,post,0.2500194013118744,0.35316920280456543,15271.1845703125,7618.416015625,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,1,raw,0.06239345669746399,0.1344902366399765,158.79135131835938,46.03300476074219,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,1,post,0.06239345669746399,0.1344902366399765,158.79135131835938,46.03300476074219,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,4,raw,0.062393464148044586,0.1344902366399765,635.1654663085938,184.13201904296875,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,4,post,0.062393464148044586,0.1344902366399765,635.1654663085938,184.13201904296875,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,24,raw,0.062170714139938354,0.1342826783657074,3797.38720703125,1101.384765625,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,75,24,post,0.062170714139938354,0.1342826783657074,3797.38720703125,1101.384765625,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,75,1,raw,0.05910896509885788,0.11642355471849442,150.43231201171875,34.49605941772461,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,75,1,post,0.05910896509885788,0.11642355471849442,150.43231201171875,34.49605941772461,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,75,4,raw,0.05910896509885788,0.11642356216907501,601.729248046875,137.9842529296875,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,75,4,post,0.05910896509885788,0.11642356216907501,601.729248046875,137.9842529296875,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,75,24,raw,0.05903062969446182,0.11633709818124771,3605.5908203125,826.67626953125,61080,2545
